Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
42,2,783.3031,784.5344,1231.34,15,53.4,87.94,171.32,43.29,89.89,23.96,51.26
43,2,789.6141,791.2987,1684.56,15,60.9,120.31,168.78,46.06,85.16,26.21,76.28
44,2,794.061,795.0074,946.43,12,45.3,86.02,153.7,63.78,91.16,17.28,59.41
45,2,816.2612,816.8203,559.1,3,47,279.45,151.71,94.33,97.31,18.94,86.06
46,2,836.5798,847.8402,11260.44,60,54.9,184.36,166.55,57.38,114.27,16.86,64.55
47,2,852.105,854.84,2735.04,23,47.5,123.66,155.6,49.39,121.52,24.97,77.87
48,2,864.9077,870.846,5938.25,45,50.6,134.07,159.64,58.63,114.3,19.68,67.95
49,2,873.4496,876.4779,3028.27,17,48.1,186.01,152.72,72.33,114.91,26.19,103.17
50,2,878.5225,878.8205,297.96,4,47.4,99.25,163.63,36.46,73.97,32.34,75.38
51,2,879.237,880.2249,987.87,10,46.6,109.74,158.86,55.29,90.97,28.46,67.35
52,2,899.9909,900.7344,743.51,15,44.1,53.09,154.52,51.14,107.23,18.75,75.97
53,2,958.6657,959.3508,685.14,7,49.2,110.72,163.69,66.94,83.25,16.67,74.96
54,2,999.0687,1000.0329,964.23,7,43.2,141.64,155.04,53.18,86.39,32.13,91.06
55,2,1006.9825,1010.2511,3268.54,32,61.5,105.43,172.13,69.39,105.5,14.03,55.11
56,2,1011.7782,1012.1156,337.4,4,60.2,112.4,166.58,57.29,60.75,10.69,40.08
57,2,1047.8434,1051.9073,4063.87,80,52.2,50.95,159.42,54.99,109.85,14.82,67.15
58,2,1105.6326,1106.5318,899.22,8,51.7,127.32,160.7,60.2,105.96,25.57,49.74
59,2,1130.9061,1137.2411,6335.01,75,56,83.7,167.44,56.23,105.58,18.23,53.66
60,2,1159.9807,1161.9243,1943.57,12,38,176.66,147.4,51.64,103.14,17.71,62.42
61,2,1223.0915,1224.1322,1040.75,7,55.1,173.43,157.45,38.44,92.65,36.48,88.39
62,2,1394.8793,1399.2388,4359.54,60,49.8,73.89,158.16,51.48,89.18,19.23,81.92
63,2,1400.288,1402.2953,2007.25,28,48.7,74.34,156.64,50.25,91.83,15.8,68.9
64,2,1402.7322,1403.7791,1046.91,15,55,74.77,165.29,85.07,90.41,10.84,49.84
65,2,1407.2541,1412.2999,5045.82,59,43.7,86.56,151.01,48.34,119.56,22.52,63.5
66,2,1430.1207,1431.7193,1598.62,21,53.8,79.92,161.87,47.69,78.9,25.36,91.49
67,2,1432.3994,1433.5957,1196.26,18,55.1,70.35,162.67,48.06,81.16,21.26,94.47
68,2,1434.1414,1435.86,1718.56,22,54.5,81.83,165.4,27.38,94.3,32.52,104.83
69,2,1458.2648,1461.3006,3035.79,35,41.4,89.28,145.41,56.91,79.26,28.07,75.84
